id	General_phylogeny	Common_name	Family	Genus	Species	Notes	Sequencing_Type	Paper	Accession	Multi_species_accession	is.subset	primerset
H50_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H510_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H51_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H52_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H53_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H54_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H55_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H56_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H57_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H58_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H59_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H5_010	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H60_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H6_010	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H7_010	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H9_010	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
K1_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
K2_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
K3_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
K4_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
K5_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
K6_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
K7_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
K8_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
M157_010	Old_World	agile mangabey	Cercopithecidae	cercocebus	cercocebus_agilis	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
M158_010	Old_World	agile mangabey	Cercopithecidae	cercocebus	cercocebus_agilis	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
M159_010	Old_World	agile mangabey	Cercopithecidae	cercocebus	cercocebus_agilis	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
M160_010	Ape	chimpanzee	Hominidae	pan	pan_troglodytes_schweinfurthii	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
M1_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
M255_010	Old_World	agile mangabey	Cercopithecidae	cercocebus	cercocebus_agilis	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
M2_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
M3_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
M45_010	Old_World	agile mangabey	Cercopithecidae	cercocebus	cercocebus_agilis	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
M49_010	Old_World	agile mangabey	Cercopithecidae	cercocebus	cercocebus_agilis	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
M4_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
M5_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
M7_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
MA_1B_B_1_10_40B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_11_41B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_12_42B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_13_43B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_14_44B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_15_45B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_16_46B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_17_47B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_18_48B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_19_49B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_1_31B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_20_50B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_21_51B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_22_52B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_23_53B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_24_54B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_25_55B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_26_56B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_2_32B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_3_33B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_4_34B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_5_35B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_6_36B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_7_37B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_8_38B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1B_B_1_9_39B	Old_World	baboon	Cercopithecidae	papio	papio_cynocephalus	in two papers with the same samples	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1_R_1_1_1	Old_World	olive colobus	Cercopithecidae	procolobus	procolobus_gordonorum	NA	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1_R_1_2_2	Old_World	olive colobus	Cercopithecidae	procolobus	procolobus_gordonorum	NA	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
MA_1_R_1_3_3	Old_World	olive colobus	Cercopithecidae	procolobus	procolobus_gordonorum	NA	ITS2	Barelli2020	PRJEB37770	TRUE	TRUE	ITS3:ITS4
